Year,Mes,Residuo,Peso
2017,Enero,Carton,0
2017,Febrero,Carton,0
2017,Marzo,Carton,0
2017,Abril,Carton,29.7
2017,Mayo,Carton,233.8
2017,Junio,Carton,175.1
2017,Julio,Carton,38
2017,Agosto,Carton,145.6
2017,Septiembre,Carton,469.3
2017,Octubre,Carton,1237.5
2017,Noviembre,Carton,212.2
2017,Diciembre,Carton,1183.3
2018,Enero,Carton,
2018,Febrero,Carton,1752.1
2018,Marzo,Carton,2181.4
2018,Abril,Carton,1958.4
2018,Mayo,Carton,1639
2018,Junio,Carton,937.2
2018,Julio,Carton,1598.3
2018,Agosto,Carton,1509.7
2018,Septiembre,Carton,
2018,Octubre,Carton,
2018,Noviembre,Carton,
2018,Diciembre,Carton,
2019,Enero,Carton,
2019,Febrero,Carton,
2019,Marzo,Carton,
2019,Abril,Carton,
2019,Mayo,Carton,22
2019,Junio,Carton,199
2019,Julio,Carton,302.6
2019,Agosto,Carton,464.2
2019,Septiembre,Carton,103
2019,Octubre,Carton,73
2019,Noviembre,Carton,457.3
2019,Diciembre,Carton,194
2020,Enero,Carton,348
2020,Febrero,Carton,362
2020,Marzo,Carton,
2020,Abril,Carton,
2020,Mayo,Carton,
2020,Junio,Carton,295.5
2020,Julio,Carton,326
2020,Agosto,Carton,112.5
2020,Septiembre,Carton,181
2020,Octubre,Carton,194
2020,Noviembre,Carton,226
2020,Diciembre,Carton,
2017,Enero,Papel,0
2017,Febrero,Papel,0
2017,Marzo,Papel,0
2017,Abril,Papel,0
2017,Mayo,Papel,0
2017,Junio,Papel,0
2017,Julio,Papel,0
2017,Agosto,Papel,32.4
2017,Septiembre,Papel,8
2017,Octubre,Papel,314
2017,Noviembre,Papel,30
2017,Diciembre,Papel,15
2018,Enero,Papel,
2018,Febrero,Papel,14
2018,Marzo,Papel,57
2018,Abril,Papel,15
2018,Mayo,Papel,22.4
2018,Junio,Papel,49.8
2018,Julio,Papel,64.6
2018,Agosto,Papel,13.1
2018,Septiembre,Papel,
2018,Octubre,Papel,
2018,Noviembre,Papel,
2018,Diciembre,Papel,
2019,Enero,Papel,
2019,Febrero,Papel,
2019,Marzo,Papel,
2019,Abril,Papel,
2019,Mayo,Papel,0
2019,Junio,Papel,1
2019,Julio,Papel,39
2019,Agosto,Papel,27
2019,Septiembre,Papel,0
2019,Octubre,Papel,0
2019,Noviembre,Papel,0
2019,Diciembre,Papel,0
2020,Enero,Papel,0
2020,Febrero,Papel,0
2020,Marzo,Papel,
2020,Abril,Papel,
2020,Mayo,Papel,
2020,Junio,Papel,0
2020,Julio,Papel,0
2020,Agosto,Papel,0
2020,Septiembre,Papel,0
2020,Octubre,Papel,0
2020,Noviembre,Papel,0
2020,Diciembre,Papel,
2017,Enero,Vidrio,0
2017,Febrero,Vidrio,0
2017,Marzo,Vidrio,0
2017,Abril,Vidrio,122.6
2017,Mayo,Vidrio,3367.2
2017,Junio,Vidrio,731.3
2017,Julio,Vidrio,25
2017,Agosto,Vidrio,300
2017,Septiembre,Vidrio,1114.8
2017,Octubre,Vidrio,1208.8
2017,Noviembre,Vidrio,500
2017,Diciembre,Vidrio,3205.7
2018,Enero,Vidrio,
2018,Febrero,Vidrio,3964.4
2018,Marzo,Vidrio,6724.5
2018,Abril,Vidrio,4123.4
2018,Mayo,Vidrio,1692.9
2018,Junio,Vidrio,1924.5
2018,Julio,Vidrio,2749.5
2018,Agosto,Vidrio,4554.3
2018,Septiembre,Vidrio,
2018,Octubre,Vidrio,
2018,Noviembre,Vidrio,
2018,Diciembre,Vidrio,
2019,Enero,Vidrio,
2019,Febrero,Vidrio,
2019,Marzo,Vidrio,
2019,Abril,Vidrio,
2019,Mayo,Vidrio,0
2019,Junio,Vidrio,250
2019,Julio,Vidrio,408.5
2019,Agosto,Vidrio,554
2019,Septiembre,Vidrio,157
2019,Octubre,Vidrio,220
2019,Noviembre,Vidrio,937
2019,Diciembre,Vidrio,356
2020,Enero,Vidrio,811
2020,Febrero,Vidrio,816
2020,Marzo,Vidrio,
2020,Abril,Vidrio,
2020,Mayo,Vidrio,
2020,Junio,Vidrio,1560.5
2020,Julio,Vidrio,995
2020,Agosto,Vidrio,1025
2020,Septiembre,Vidrio,358
2020,Octubre,Vidrio,405
2020,Noviembre,Vidrio,556
2020,Diciembre,Vidrio,
2017,Enero,Tetrapak,0
2017,Febrero,Tetrapak,0
2017,Marzo,Tetrapak,0
2017,Abril,Tetrapak,0
2017,Mayo,Tetrapak,0
2017,Junio,Tetrapak,0
2017,Julio,Tetrapak,0
2017,Agosto,Tetrapak,0
2017,Septiembre,Tetrapak,0
2017,Octubre,Tetrapak,0
2017,Noviembre,Tetrapak,0
2017,Diciembre,Tetrapak,0
2018,Enero,Tetrapak,
2018,Febrero,Tetrapak,0
2018,Marzo,Tetrapak,0
2018,Abril,Tetrapak,0
2018,Mayo,Tetrapak,0
2018,Junio,Tetrapak,0
2018,Julio,Tetrapak,0
2018,Agosto,Tetrapak,0
2018,Septiembre,Tetrapak,
2018,Octubre,Tetrapak,
2018,Noviembre,Tetrapak,
2018,Diciembre,Tetrapak,
2019,Enero,Tetrapak,
2019,Febrero,Tetrapak,
2019,Marzo,Tetrapak,
2019,Abril,Tetrapak,
2019,Mayo,Tetrapak,0
2019,Junio,Tetrapak,0.5
2019,Julio,Tetrapak,2
2019,Agosto,Tetrapak,6.1
2019,Septiembre,Tetrapak,6.9
2019,Octubre,Tetrapak,6
2019,Noviembre,Tetrapak,1.6
2019,Diciembre,Tetrapak,8
2020,Enero,Tetrapak,14.5
2020,Febrero,Tetrapak,0
2020,Marzo,Tetrapak,
2020,Abril,Tetrapak,
2020,Mayo,Tetrapak,
2020,Junio,Tetrapak,23
2020,Julio,Tetrapak,1
2020,Agosto,Tetrapak,1
2020,Septiembre,Tetrapak,10.5
2020,Octubre,Tetrapak,1
2020,Noviembre,Tetrapak,0.5
2020,Diciembre,Tetrapak,
2017,Enero,PET,0
2017,Febrero,PET,0
2017,Marzo,PET,0
2017,Abril,PET,55.5
2017,Mayo,PET,57.9
2017,Junio,PET,80.1
2017,Julio,PET,37.7
2017,Agosto,PET,76.5
2017,Septiembre,PET,87.1
2017,Octubre,PET,356.1
2017,Noviembre,PET,141.9
2017,Diciembre,PET,650
2018,Enero,PET,
2018,Febrero,PET,737.3
2018,Marzo,PET,1307.3
